LogDebug:mfReceiveAndForward:otsdaq_utilities/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [142]	Starting...
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManagerRW.cc|447|Updating persistent active groups to /home/uplegger/Programming/otsdaq/srcs/otsdaq_prepmodernization/data_ICARUS/ServiceData/ActiveTableGroups.cfg ...
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManagerRW.cc|461|Active Context table group: MainContext(1)
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManagerRW.cc|463|Active Backbone table group: TableEditWizBackbone(5)
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManagerRW.cc|465|Active Iterate table group: (-1)
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManagerRW.cc|468|Active Configuration table group: NimPlusConfiguration(2)
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/GatewaySupervisor/GatewaySupervisor.cc|1168|FSM configuration dump Link disconnected.
|Warning	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManager.cc|1358|Not loading group because it is not of type Context or Backbone (it is type 'Configuration').
|Warning	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManager.cc|1358|Not loading group because it is not of type Context or Backbone (it is type 'Configuration').
|Info	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/GatewaySupervisor/GatewaySupervisor.cc|1412|FSM configuration dump Link disconnected.
|Warning	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManager.cc|1358|Not loading group because it is not of type Context or Backbone (it is type 'Configuration').
|Warning	|/home/uplegger/Programming/otsdaq/srcs/otsdaq/otsdaq/ConfigurationInterface/ConfigurationManager.cc|1358|Not loading group because it is not of type Context or Backbone (it is type 'Configuration').
